CIVILSTAND;TID;INDHOLD
Fraskilt;2008K1;428864
Fraskilt;2008K2;431550
Fraskilt;2008K3;432713
Fraskilt;2008K4;432156
Fraskilt;2020K1;544588
Fraskilt;2020K2;548229
Fraskilt;2020K3;550715
Fraskilt;2020K4;552419
Ugift;2008K1;2552700
Ugift;2008K2;2563134
Ugift;2008K3;2564705
Ugift;2008K4;2568255
Ugift;2020K1;2844060
Ugift;2020K2;2851131
Ugift;2020K3;2854659
Ugift;2020K4;2859116
I alt;2008K1;5475791
I alt;2008K2;5482266
I alt;2008K3;5489022
I alt;2008K4;5505995
I alt;2020K1;5822763
I alt;2020K2;5824857
I alt;2020K3;5825337
I alt;2020K4;5837213
